"id","name","customization_type","default_price","is_active","created_at","option_group_name","is_required","is_multi_select","display_order","is_default"
"173","Meat Balls","option","0.00","true","2026-04-03T12:22:47.353Z","Protein","false","false","0","false"
"174","Broccoli","remove","0.00","true","2026-04-03T12:25:08.794Z",,"false","false","0","false"
"175","Edamame","remove","0.00","true","2026-04-03T12:25:22.210Z",,"false","false","0","false"
"176","Extra Edamame","addon","2.00","true","2026-04-03T12:25:45.310Z",,"false","false","0","false"
"177","Almonds","remove","0.00","true","2026-04-03T15:34:53.660Z",,"false","false","0","false"
"178","Sweet Potatoes","remove","0.00","true","2026-04-03T15:35:07.708Z",,"false","false","0","false"
"179","Beetroot","remove","0.00","true","2026-04-03T15:35:29.443Z",,"false","false","0","false"
"180","Extra Sweet Potatoes","addon","3.00","true","2026-04-03T15:36:23.125Z",,"false","false","0","false"
"181","Extra Beetroot","addon","2.00","true","2026-04-03T15:36:31.183Z",,"false","false","0","false"
"183","Fetta","remove","0.00","true","2026-04-03T15:47:36.805Z",,"false","false","0","false"
"184","Extra Fetta","addon","3.00","true","2026-04-03T15:47:50.983Z",,"false","false","0","false"
"185","Berries","remove","0.00","true","2026-04-03T15:52:05.532Z",,"false","false","0","false"
"186","Greek Yogurt","remove","0.00","true","2026-04-03T15:52:20.880Z",,"false","false","0","false"
"187","Banana","addon","0.00","true","2026-04-03T15:53:14.334Z",,"false","false","0","false"
"188","Granola","remove","0.00","true","2026-04-03T15:53:24.113Z",,"false","false","0","false"
"189","Extra Honey","addon","2.00","true","2026-04-03T15:53:53.361Z",,"false","false","0","false"
"190","Croissant Nature","option","0.00","true","2026-05-17T10:59:10.870Z","Viennoiseries","false","false","0","false"
"191","Croissant Fromage","option","0.00","false","2026-05-17T10:59:32.111Z","Viennoiseries","false","false","0","false"
"192","Croissant Zaatar","option","0.00","true","2026-05-17T10:59:47.254Z","Viennoiseries","false","false","0","false"
"193","Pain au Chocolat","option","0.00","true","2026-05-17T11:00:04.801Z","Viennoiseries","false","false","0","false"
"194","Cappuccino","option","0.00","true","2026-05-17T11:01:37.790Z","Your Coffee","true","false","0","false"
"195","Latte","option","0.00","true","2026-05-17T11:01:51.756Z","Your Coffee","false","false","0","false"
"196","Americano","option","0.00","true","2026-05-17T11:02:08.855Z","Your Coffee","false","false","0","false"
"197","American","option","0.00","true","2026-05-17T11:02:38.665Z","Your Coffee","false","false","0","false"
"199","Executive Chicken Bowl","option","2.00","true","2026-05-21T07:59:41.966Z","Bowls","false","false","0","false"
"200","Omega Salmon Bowl","option","8.00","true","2026-05-21T08:00:36.538Z","Bowls","false","false","0","false"
"201","Iron Energy Bowl","option","5.00","true","2026-05-21T08:00:58.025Z","Bowls","false","false","0","false"
"202","Garden Power Bowl","option","0.00","true","2026-05-21T08:01:17.700Z","Bowls","false","false","0","false"
"203","Savory Breakfast Bowl","option","0.00","true","2026-05-21T08:01:45.168Z","Bowls","false","false","0","false"
"204","Morning Energy Bowl","option","0.00","true","2026-05-21T08:02:00.176Z","Bowls","false","false","0","false"
"205","Berry Boost","option","1.00","true","2026-05-21T08:02:41.279Z","Shakes","false","false","0","false"
"206","Cocoa Charge","option","0.00","true","2026-05-21T08:02:58.213Z","Shakes","false","false","0","false"
"207","Green Energy","option","0.00","true","2026-05-21T08:03:14.814Z","Shakes","false","false","0","false"
"208","Peanut","option","0.00","true","2026-05-21T08:04:09.925Z","Shakes","false","false","0","false"
